url,total flags,authentication [RED],excessive-quotations [YELLOW],satire [RED],snopes.false [RED],realorsatire [RED],source-saturation [YELLOW],poor-headline [YELLOW],opinionated [YELLOW]
http://straightstoned.com/pro-lifers-declare-ejaculation-murder-every-sperm-cell-life/,4,,,satirical,http://www.snopes.com/every-sperm-is-sacred/,,,,
http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,4,,failed,"satirical, fictional",http://www.snopes.com/isis-leader-supports-hillary/,,,,
http://bizstandardnews.com/2016/07/23/graham-says-christians-must-support-trump-or-face-death-camps/,4,,,,http://www.snopes.com/graham-christian-death-camps/,satire,,,
https://adobochronicles.com/2016/05/01/robredo-if-elected-vice-president-of-duterte-i-will-immediately-resign-my-post/,4,,,fiction,,satire,,,failed
http://abcnews.com.co/drug-kingpin-el-chapo-escapes-mexican-prison-once-again/,4,,,,http://www.snopes.com/el-chapo-escapes-again/,satire,,,
http://abcnews.com.co/obama-executive-order-bans-pledge-of-allegiance-in-schools/,4,,,,http://www.snopes.com/pledge-of-allegiance-ban/,satire,,,
http://abcnews.com.co/obama-signs-executive-order-declaring-investigation-of-election-results/,4,,,,http://www.snopes.com/obama-signs-executive-order-declaring-investigation-into-election-results/,satire,,,
https://thevalleyreport.com/2016/03/08/woman-murders-college-roommate-for-sending-too-many-candy-crush-requests/,4,,,"exaggerated, embellished, fiction",http://www.snopes.com/candy-crush-murder-false/,,,,
http://www.satiratribune.com/2016/04/13/los-angeles-tap-water-contains-12-xanax-4-oxycodone/,2,failed,,,,,,,
http://www.celebtricity.com/woman-puts-poison-on-her-vagina-to-kill-husband-when-he-went-down-on-her/,2,,,satire,,,,,
https://empireherald.com/cinnamon-roll-can-explodes-inside-mans-butt-during-shoplifting-incident/,2,,,,,satire,,,
https://www.dailyfinesser.com/fort-wayne-man-dressed-clown-shot-head-condition-critical/,2,failed,,,,,,,
http://thebostontribune.com/casey-anthony-obtains-florida-business-license-for-home-daycare/,2,failed,,,,,,,
http://www.burrardstreetjournal.com/trump-canada-independence-was-mistake/,2,,,satire,,,,,
http://thelastlineofdefense.org/woah-hillary-caught-on-hot-mic-trashing-beyonce-with-racial-slurs/,2,,,satirical,,,,failed,
http://politicops.com/mike-pence-sarah-palin-role-model-beautiful-smart-american-women/,2,,,satirical,,,,,
http://baltimoregazette.com/atlanta-officer-kills-black-woman-following-breastfeeding-argument/,2,failed,,,,,,,
http://worldnewsdailyreport.com/saudi-arabia-panel-of-scientists-admits-women-are-mammals-yet-not-human/,2,,failed,"satirical, fictional",,,,,
http://worldnewsdailyreport.com/morgue-worker-arrested-after-giving-birth-to-a-dead-mans-baby/,2,,,"satirical, fictional",,,,failed,
http://www.celebtricity.com/daycare-busted-running-toddler-fightclub-parents-outraged/,2,,,satire,,,,failed,
http://www.react365.com/580fed9b781bd/obama-passed-law-for-grandparents-to-get-all-their-grandchildren-every-weekend.html,2,failed,,,,,,,
http://kypo6.com/breaking/pope-francis-shocks-world-endorses-hillary-clinton-for-president-releases-statement/,2,failed,,,,,,,
http://abcnews.com.co/donald-trump-protester-speaks-out-i-was-paid-to-protest/,2,,,,,satire,,,
https://empireherald.com/mans-penis-gets-ripped-off-after-attempting-to-rape-a-pit-bull/,2,failed,failed,,,,,,
http://tmzhiphop.com/woman-stabbed-her-husband-to-death-because-he-wouldnt-eat-her-ass/,2,failed,,,,,,,
http://worldnewsdailyreport.com/zimbabwe-pride-of-lions-kills-5-poachers-and-injures-3-others/,2,,,"satirical, fictional",,,,failed,
http://tmzhiphop.com/babysitter-discovers-clown-doll-in-kids-room-was-a-real-person-raping-the-child-at-night/,2,failed,,,,,,,
http://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,2,,,"satirical, fictional",,,,,
http://conservativestate.com/hillary-clinton-2013-like-see-people-like-donald-trump-run-office-theyre-honest-cant-bought/,2,failed,,,,,,failed,
https://www.dailyfinesser.com/woman-with-too-much-makeup-mistaken-as-clown-attacked-by-angry-mob/,2,failed,failed,,,,,,
https://thevalleyreport.com/2016/04/25/woman-arrested-for-defecating-on-boss-desk-after-winning-the-lottery/,2,,,"exaggerated, embellished, fiction",,,,,failed
https://thevalleyreport.com/2016/02/13/florida-man-dies-in-meth-lab-explosion-after-lighting-farts-on-fire/,2,,,"exaggerated, embellished, fiction",,,,,
http://abcnews.com.co/actor-bill-murray-announces-2016-presidential-run/,2,,,,,satire,,,
http://tmzhiphop.com/girl-infects-586-men-with-hiv-on-purpose-plans-on-infecting-2000-more-before-2017/,2,failed,,,,,,failed,
http://abcnews.com.co/united-states-revokes-scientologys-tax-exempt-status/,2,,,,,satire,failed,,
http://www.satiratribune.com/2016/02/11/mexican-drug-lord-el-chapo-breaks-out-of-prison-for-3rd-time/,2,failed,,,,,,,
http://tmzhiphop.com/trump-offering-free-one-way-tickets-to-africa-mexico-for-those-who-wanna-leave-america/,2,failed,,,,,,,
http://tmzhiphop.com/police-find-19-white-female-bodies-in-freezers-with-black-lives-matter-carved-into-skin/,2,failed,,,,,,,
https://thevalleyreport.com/2016/03/14/man-shoots-off-his-own-penis-taking-selfies-with-gun/,2,,,"exaggerated, embellished, fiction",,,,,
https://empireherald.com/back-to-africa-movement-to-help-blacks-leave-america-if-donald-trump-becomes-president/,2,failed,failed,,,,,,
http://thelastlineofdefense.org/van-full-of-illegals-shows-up-to-vote-clinton-at-six-polling-places-still-think-voter-fraud-is-a-myth/,2,,,satirical,,,,,
http://tmzhiphop.com/chick-fil-a-president-dan-cathy-we-dont-like-the-blacks-either/,2,failed,,,,,,,
http://www.burrardstreetjournal.com/obama-refusing-to-leave-if-trump-elected/,2,failed,failed,,,,,,
http://tmzhiphop.com/michael-jordan-says-i-wont-release-another-shoe-until-black-people-unite/,2,failed,,,,,,,
http://www.usanewsflash.com/pence-michelle-obama-vulgar-first-lady-weve-ever/,2,failed,,,,,,,
